"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"N2",-7.80329192131715,2.39896044113785,2.85323961919674,2.22950938493081,-2.31522921806677
"N5",-9.97702050750087,10.9317167399012,8.73637159518584,8.0166576539559,-5.47326849664497
"N6",-6.77604956900746,0.0889864389117996,2.86349659977712,0.317082790897526,1.46806271664172
"N7",-6.64502052110742,-3.60631891450958,-0.18217488684167,0.679298851775016,0.607234533450137
"N8",-7.86575085663623,-1.22974740723331,0.700381145275259,-0.942339155710873,4.20855201016343
"N9",-8.5483156394076,-0.787555156235945,1.61156396285731,0.00524141264337283,2.77375310078121
"N10",-9.60769240414826,-1.20288411476758,-0.590728206617464,-1.72189082570193,5.25377928245497
"N11",-8.14303701205396,-2.33346645196355,-0.622623017172187,-1.67991349482117,2.30779602897444
"N12",-5.3260799570532,-3.8978939181736,-1.22954548047781,-0.558013535727428,1.51605354763976
"M1",0.607206872949109,-4.06322207449863,-1.76966658805648,-1.87588275421324,-6.15363951443848
"M13",6.76870719470212,-1.62925555043367,2.50373035758085,1.28583724660696,2.140304866099
"M3",6.51394519494551,-2.57725054908287,3.75030109769838,1.50492591732068,1.24481459424004
"M4",5.17389333566735,1.68838456917012,1.49672429785177,0.490558734824142,-1.65692096224823
"M5",6.65700412793968,0.120560953784752,1.17221979595589,0.627033201425623,-0.0570903437408713
"M6",-2.85851364556208,-6.18880687774403,-4.25320457263102,-1.96798130413819,-5.34233827314206
"M7",2.38955495894048,4.85311626471463,-5.43220817180644,-2.38253797092341,-3.96210606586088
"M8",-3.69225328581302,-6.02759922292823,-3.5235514049506,-2.84880785902445,-2.89855740267421
"M10",4.73516437012474,-1.82306314385969,4.29080740633099,-0.791116457598558,-0.269179379517253
"M11",1.84096387669942,4.88022691280774,-10.0320343411614,8.61006753805845,2.15503026684715
"DH1",-2.61705561693174,-4.34914123938702,-3.57694244196352,-0.672709965025724,-2.22835072628843
"DH2",6.14397923045688,-1.00382227873118,2.53914293186116,-0.625123283646093,1.91567382597731
"DH3",2.03621935283701,-0.314359359260574,-4.20570340863953,0.69501072728087,-1.42664323962343
"DH4",5.76229994522288,-0.0840804801909394,1.92796032856302,-1.65044662248108,1.5766343715335
"DH5",4.19267857442121,-1.54812374467299,2.858226819966,0.113379531899892,0.808772387251662
"DH6",4.35302508879836,3.08522580232712,-10.0969669631994,5.88024133880437,2.59318371299182
"DH7",-0.210105621968487,17.3328084119227,-2.70929594225294,-10.6861963035529,1.04195318543937
"DH8",1.35174291359245,-2.83776055355177,-0.796127846162531,-1.45935146114059,-0.761182659281446
"DH9",7.40554564879908,1.02354051056728,3.01850011839393,-0.411210060300398,0.871805770887286
"DH10",3.44166691270744,-2.5003136223785,3.06437523945963,-0.559787947062545,-0.342131245817771
"DH11",6.72071019912011,-1.21726303320866,3.42282969165828,1.50919008895071,0.82623477861795
"DH12",3.97587876058366,2.81840064756715,2.21090226432086,-1.13072541830577,-0.423001452645941
