"sample","NMDS1","NMDS2"
"N2",-0.749528187253866,-0.0171891951396011
"N5",-0.603967645929488,-0.0637085525564936
"N6",-0.638584359874232,-0.0575373595330768
"N7",-0.730439867065612,0.0884955101484973
"N8",-0.807307217785157,-0.0270777197036021
"N9",-0.777198951837259,-0.0317782096407738
"N10",-0.752585667160266,0.036222797292748
"N11",-0.876625914083635,0.0180554815718761
"N12",-0.798026633362417,0.0254987555980241
"M1",0.517120057808365,-0.0117913635829294
"M13",0.395922546013146,-0.130782318397675
"M3",0.346275637797794,-0.106550105138987
"M4",0.15573403793664,0.0231314128906878
"M5",0.313085620594072,-0.088127513432993
"M6",0.597585160468013,-0.0116411512171904
"M7",0.204139163050279,0.217795607857288
"M8",0.689723267963219,-0.0635761147076233
"M10",-0.00229228655553009,-0.0244583614528919
"M11",0.232482038907195,0.247945444986332
"DH1",0.456470387667861,0.188769137964088
"DH2",0.207302130906647,-0.0742691724641254
"DH3",0.475870043349265,0.0514811668712692
"DH4",0.20987470792201,-0.0155914372262012
"DH5",0.203337107128672,-0.0492776307303678
"DH6",0.363798521191225,0.0929865108985177
"DH7",0.206841495549777,0.0722437307549461
"DH8",0.456352760502049,-0.0367687632347059
"DH9",0.254610194508474,-0.107072734473807
"DH10",0.0260698152558367,-0.0444247563995697
"DH11",0.25722610279791,-0.0871222190527118
"DH12",0.166735933589014,-0.013880878748948
