"sample","Dim1","Dim2","Dim3","Dim4","Dim5"
"N2",-0.385253310058233,-0.00730837507441041,-0.0171402395101608,-0.000553536767895721,-0.0131381300722799
"N5",-0.310969457602139,-0.0584068367954083,-0.0261647167038878,0.00334594785331472,-0.00339987415544405
"N6",-0.331462699747908,-0.0765958758152693,-0.04290660912237,0.0101903103773332,-0.003426032096981
"N7",-0.368648511221736,0.123234932477777,-0.00508492037638679,0.0488761598719175,0.0440488238642308
"N8",-0.41281267698828,-0.0271445895888233,-0.0154041417450811,-0.00713775648003353,0.00607818056691186
"N9",-0.401591800968446,-0.0565801183203231,-0.0351596742718733,-0.00247361171360086,9.02827654268162e-05
"N10",-0.37986358126392,0.0907253359418461,-0.0036229245529758,0.0123620060837412,-0.0220743623869541
"N11",-0.435488610851123,0.0911871729329269,0.011353636699918,0.00245335416997196,-0.0368796729373812
"N12",-0.400750456600082,0.0679659391348414,0.0319667371446366,-0.0826093137419103,0.0408826215186879
"M1",0.24472634511203,0.0921762207158816,-0.0312760206961951,-0.0089735532794227,-0.0304285926666705
"M13",0.218944210440932,-0.0615392648548291,-0.074003755498899,-0.0613753614272076,0.00263392536747997
"M3",0.183853714965409,-0.0513390017327393,-0.067390515143194,-0.0373486583100963,0.0131216943228131
"M4",0.077784661484528,-0.0314939858062265,0.0304403548618243,0.0132572205225466,-0.0122918428802128
"M5",0.172814420632826,-0.0631923248951851,-0.0481314075318173,0.00301770723627017,-0.00335602494558
"M6",0.280386810879872,0.10759138660835,-0.0488361645498185,0.000221048408541613,-0.0289844408202515
"M7",0.113527823665597,0.0305784660638437,0.150626289729561,-0.0355470197360339,-0.00295035403487646
"M8",0.297812514679569,0.137041128896424,-0.0992008989568334,0.0151860614611668,-0.025922507928444
"M10",-0.00342652915747102,-0.0829714494936088,0.0374907609520469,-0.022256148614509,0.00985358955467583
"M11",0.134151285218032,0.00686593257566283,0.162324136119724,0.00747773013355693,-0.0461279191888693
"DH1",0.219421062310221,0.0753899162119824,0.0384060334092101,0.0815677455431234,0.101353397923911
"DH2",0.118653009302754,-0.0874903880042171,0.00643482135538453,0.00509976170875196,0.0164953050474323
"DH3",0.235577897427999,0.0785543860118861,0.0161381002419042,-0.0747435977506648,0.0283954165321281
"DH4",0.114316538444964,-0.0545613106722145,0.00548769269940099,0.0258563304198695,-0.00792890427708544
"DH5",0.107397847732685,-0.0582259464973414,-0.018426297629846,0.0256719547737529,-0.00972601233970806
"DH6",0.194230444303528,0.0311256213990606,0.0613937305683155,-0.0387542543617576,0.00533985293130989
"DH7",0.116706611136517,-0.00214086217044314,0.0386188300621736,0.0614235879309367,-0.03282380261489
"DH8",0.208313820097853,0.0835219543182264,-0.0730220311797391,-0.00069361776699528,-0.00156513054165872
"DH9",0.15226783662515,-0.0872670878505706,-0.0165518654295437,0.0100740088724317,0.0283632382416134
"DH10",0.00503294324566261,-0.0706151283344005,0.0181456114285649,0.0177872865452739,-0.0207186600100077
"DH11",0.150343557622839,-0.0818223185178213,0.00276486166762627,0.00197027842402664,0.0212229610484872
"DH12",0.0840042791303677,-0.0572635288648769,0.0107305859583311,0.0266279296136001,-0.0161370257878129
